Date,Value
2/11/1929,24.98
2/13/1929,24.950001
2/14/1929,24.85
2/15/1929,24.35
2/18/1929,24.389999
2/19/1929,24.379999
2/20/1929,24.59
2/21/1929,24.860001
2/25/1929,24.91
2/26/1929,24.950001
2/27/1929,25.25
2/28/1929,25.59
3/1/1929,25.83
3/4/1929,25.49
3/5/1929,25.32
3/6/1929,24.92
3/7/1929,25.15
3/8/1929,25.309999
3/11/1929,24.950001
3/12/1929,24.969999
3/13/1929,25.24
3/14/1929,25.73
3/15/1929,26.08
3/18/1929,26.040001
3/19/1929,26.030001
3/20/1929,26.02
3/21/1929,25.9
3/22/1929,25.549999
3/25/1929,24.51
3/26/1929,24.35
3/27/1929,25.09
3/28/1929,25.530001
4/1/1929,24.879999
4/2/1929,25.17
4/3/1929,24.860001
4/4/1929,25.299999
4/5/1929,25.049999
4/8/1929,24.83
4/9/1929,24.629999
4/10/1929,24.780001
4/11/1929,25.059999
4/12/1929,25.15
4/15/1929,25
4/16/1929,25.059999
4/17/1929,25.32
4/18/1929,25.43
4/19/1929,25.41
4/22/1929,25.700001
4/23/1929,25.85
4/24/1929,25.75
4/25/1929,25.629999
4/26/1929,25.58
4/29/1929,25.530001
4/30/1929,25.940001
5/1/1929,25.99
5/2/1929,26.110001
5/3/1929,26.370001
5/6/1929,26.32
5/7/1929,26.07
5/8/1929,26.18
5/9/1929,26.02
5/10/1929,26.34
5/13/1929,25.639999
5/14/1929,25.950001
5/15/1929,25.84
5/16/1929,25.969999
5/17/1929,26.09
5/20/1929,25.389999
5/21/1929,25.700001
5/22/1929,24.76
5/23/1929,25.309999
5/24/1929,25.120001
5/27/1929,24.200001
5/28/1929,24.59
5/29/1929,24.620001
5/31/1929,24.83
6/3/1929,25.27
6/4/1929,25.639999
6/5/1929,25.59
6/6/1929,25.639999
6/7/1929,25.530001
6/10/1929,25.27
6/11/1929,25.43
6/12/1929,25.450001
6/13/1929,25.84
6/14/1929,25.93
6/17/1929,26.41
6/18/1929,26.42
6/19/1929,26.32
6/20/1929,26.469999
6/21/1929,26.620001
6/24/1929,26.620001
6/25/1929,26.9
6/26/1929,27.059999
6/27/1929,27.110001
6/28/1929,27.41
7/1/1929,27.77
7/2/1929,28.059999
7/3/1929,28.18
7/5/1929,28.32
7/8/1929,28.370001
7/9/1929,28.280001
7/10/1929,28.200001
7/11/1929,28.26
7/12/1929,28.57
7/15/1929,28.450001
7/16/1929,28.65
7/17/1929,28.719999
7/18/1929,28.66
7/19/1929,28.76
7/22/1929,28.43
7/23/1929,28.83
7/24/1929,28.639999
7/25/1929,28.77
7/26/1929,28.66
7/29/1929,28.18
7/30/1929,28.5
7/31/1929,28.879999
8/1/1929,29.08
8/2/1929,29.559999
8/5/1929,29.540001
8/6/1929,29.43
8/7/1929,29.129999
8/8/1929,29.469999
8/9/1929,28.379999
8/12/1929,29.27
8/13/1929,29.530001
8/14/1929,29.620001
8/15/1929,29.67
8/16/1929,30.219999
8/19/1929,30.5
8/20/1929,30.68
8/21/1929,30.549999
8/22/1929,30.790001
8/23/1929,31.09
8/26/1929,31.07
8/27/1929,31.049999
8/28/1929,30.99
8/29/1929,31.290001
8/30/1929,31.709999
9/3/1929,31.82
9/4/1929,31.719999
9/5/1929,31.02
9/6/1929,31.83
9/9/1929,31.67
9/10/1929,31.1
9/11/1929,31.530001
9/12/1929,31.17
9/13/1929,31.379999
9/16/1929,31.860001
9/17/1929,31.6
9/18/1929,31.68
9/19/1929,31.73
9/20/1929,31.389999
9/23/1929,31.379999
9/24/1929,30.799999
9/25/1929,30.85
9/26/1929,31.129999
9/27/1929,30.27
9/30/1929,30.16
10/1/1929,29.98
10/2/1929,30.200001
10/3/1929,28.950001
10/4/1929,28.65
10/7/1929,30.440001
10/8/1929,30.34
10/9/1929,30.27
10/10/1929,30.809999
10/11/1929,30.76
10/14/1929,30.549999
10/15/1929,30.299999
10/16/1929,29.24
10/17/1929,29.690001
10/18/1929,28.84
10/21/1929,27.73
10/22/1929,28.27
10/23/1929,26.6
10/24/1929,25.75
10/25/1929,26.120001
10/28/1929,22.74
10/29/1929,20.43
10/30/1929,22.99
10/31/1929,24.15
11/4/1929,22.879999
11/6/1929,20.610001
11/7/1929,21.370001
11/8/1929,21.18
11/11/1929,19.860001
11/12/1929,18.73
11/13/1929,17.66
11/14/1929,19.24
11/15/1929,20.299999
11/18/1929,20.09
11/19/1929,20.700001
11/20/1929,21.27
11/21/1929,21.610001
11/22/1929,21.530001
11/25/1929,21.280001
11/26/1929,20.66
11/27/1929,20.92
12/2/1929,20.950001
12/3/1929,21.65
12/4/1929,22.049999
12/5/1929,21.870001
12/6/1929,22.450001
12/9/1929,22.4
12/10/1929,22.57
12/11/1929,22.379999
12/12/1929,21.17
12/13/1929,21.700001
12/16/1929,21.33
12/17/1929,21.559999
12/18/1929,21.42
12/19/1929,20.85
12/20/1929,20.16
12/23/1929,20.26
12/24/1929,20.389999
12/26/1929,20.84
12/27/1929,20.82
12/30/1929,20.889999
12/31/1929,21.450001
1/2/1930,21.18
1/3/1930,21.23
1/6/1930,21.5
1/7/1930,21.309999
1/8/1930,21.290001
1/9/1930,21.620001
1/10/1930,21.549999
1/13/1930,21.52
1/14/1930,21.559999
1/15/1930,21.65
1/16/1930,21.5
1/17/1930,21.309999
1/20/1930,21.5
1/21/1930,21.610001
1/22/1930,21.629999
1/23/1930,21.84
1/24/1930,22.040001
1/27/1930,22.209999
1/28/1930,22.1
1/29/1930,22.35
1/30/1930,22.469999
1/31/1930,22.790001
2/3/1930,22.74
2/4/1930,23.01
2/5/1930,23.309999
2/6/1930,23.059999
2/7/1930,22.969999
2/10/1930,23.120001
2/11/1930,23.32
2/13/1930,23.360001
2/14/1930,23.35
2/17/1930,23.26
2/18/1930,23.280001
2/19/1930,23.07
2/20/1930,22.639999
2/21/1930,22.92
2/24/1930,22.68
2/25/1930,22.889999
2/26/1930,23.110001
2/27/1930,23.08
2/28/1930,23.280001
3/3/1930,23.360001
3/4/1930,23.540001
3/5/1930,23.360001
